Box T Tools ,,,,,
,,,,,
Sku,H,Ordre number,,Type of Tool's ,Company 
,,,,,
201,2,PTTS2DI,,Wheel truing gauge,Cykelpartner
202,2,,,Steerer tube cutter,
203,2,12557,,E-tube connecting & setting,All bike
204,2,626766,,Torque wrenche   L. 459,Unior                      (263)
205,2,,,Battery charger / Charge cradle,
206,2,,,Superspark bicycle tools,
207,3,621662,,Pro Chain tool,Unior           (1647/2ABI)
208,3,617171,,Chain wear indicators ,Unior              (1644.3/4)
209,2,52810910,,Alligator pumphandel tool,Billigecykler
210,2,131184,,Rubber for Alligator pumphandel tool,Billigecykler
211,2,,,Compressor tool,
212,3,617775,,"Awl with round, double bent blade",Unior                  (639 C)
213,3,,,Scissors,
214,3,623088,,Crank puller,Unior         (1661.3/4DP)
215,3,617310,,"Taps for, BSA",Unior                 (1697.1)
216,3,616080,,"Taps for, Pedal 6mm",Unior                 (1695.1)
217,3,616078,,"Taps for, Frame 5mm",Unior                    (1695)
218,3,WP-YEZY00016,,Installation tool,Shimano        (TL-FC39)
219,3,WP-Y13009220,,isstallation crank arm tool,Shimano        (TL-FC16)
220,3,WP-Y13009230,,Hollowtech II bottom bracket adapter tool,Shimano        (TL-FC33)
221,3,WP-Y13098280,,Hollowtech II crank arm tool,Shimano        (TL-FC18)
222,,623238,,Hex wrench T-handle 2mm,Unior                 (193HX)
223,,607161,,"Hex wrench T-handle 2,5mm",Unior                 (193HX)
224,,607162,,Hex wrench T-handle 3mm,Unior                 (193HX)
225,,607164,,Hex wrench T-handle 4mm,Unior                 (193HX)
226,,607166,,Hex wrench T-handle 5mm,Unior                 (193HX)
227,,607167,,Hex wrench T-handle 6mm,Unior                 (193HX)
228,,607169,,Hex wrench T-handle 8mm,Unior                 (193HX)
229,,624028,,"Y hex wrench 2 / 2,5 / 3mm",Unior            (1781/2HX)
230,,624027,,Y hex wrench 4 / 5 / 6mm,Unior            (1781/2HX)
231,,625741,,"Hex socket 1/4'' dim. 2,5mm short",Unior              (187/2HX)
232,,607898,,Hex socket 1/4'' dim. 3mm short,Unior              (187/2HX)
233,,607899,,Hex socket 1/4'' dim. 4mm short,Unior              (187/2HX)
234,,607900,,Hex socket 1/4'' dim. 5mm short,Unior              (187/2HX)
235,,607901,,Hex socket 1/4''  dim. 6mm short,Unior              (187/2HX)
236,,603380,,Hex socket 1/2'' dim. 5mm long,Unior            (192/2HXL)
237,,603381,,Hex socket 1/2'' dim. 6mm long,Unior            (192/2HXL)
238,,605567,,Screwdriver socket 1/2'' with profile   TX45,Unior              (192/2TX)
239,,605568,,Screwdriver socket 1/2'' with profile   TX50,Unior              (192/2TX)
240,,611747,,"Socket wrench, TBI handle  6mm",Unior                (629TBI)
241,,611749,,"Socket wrench, TBI handle  8mm",Unior                (629TBI)
242,,611751,,"Socket wrench, TBI handle  10mm",Unior                (629TBI)
243,,608284,,"Socket wrench, T-handle 6mm",Unior                   (193N)
244,,608286,,"Socket wrench, T-handle 8mm",Unior                   (193N)
245,,608288,,"Socket wrench, T-handle 10mm",Unior                   (193N)
246,,608287,,"Socket wrench, T-handle 13mm",Unior                   (193N)
247,3,616859,,"Socket 1/4'', 12 point     5mm",Unior            (188/2 12p)
248,3,616861,,"Socket 1/4'', 12 point     6mm",Unior            (188/2 12p)
249,3,616863,,"Socket 1/4'', 12 point     8mm",Unior            (188/2 12p)
250,3,616865,,"Socket 1/4'', 12 point     10mm",Unior            (188/2 12p)
251,3,616868,,"Socket 1/4'', 12 point     13mm",Unior            (188/2 12p)
252,3,616869,,"Socket 1/4'', 12 point     14mm",Unior           
253,3,616870,,"Socket 1/4'', 12 point     15mm",Unior           
254,3,607976,,Adaptor,Unior                   
255,3,622818,,Ratchet combi. wrench 8mm,Unior                   (160/2)
256,3,622820,,Ratchet combi. wrench 10mm,Unior                   (160/2)
257,3,622823,,Ratchet combi. wrench 13mm,Unior                   (160/2)
258,3,622824,,Ratchet combi. wrench 14mm,Unior                   (160/2)
259,3,622825,,Ratchet combi. wrench 15mm,Unior                   (160/2)
260,3,622827,,Ratchet combi. wrench 17mm,Unior                   (160/2)
261,3,600358,,"Combination Wrench, long type 7mm",Unior                   (120/1)
262,3,600361,,"Combination Wrench, long type 10mm",Unior                   (120/1)
263,3,600363,,"Combination Wrench, long type 14mm",Unior                   (120/1)
264,3,600366,,"Combination Wrench, long type 15mm",Unior                   (120/1)
265,3,600368,,"Combination Wrench, long type 17mm",Unior                   (120/1)
266,3,602085,,Open end wrench 13/15mm,Unior                   (110/1)
267,3,602593,,Open end wrench 36/30mm 40/32mm,Unior                   (110/1)
268,,625044,,"Set of tire levers, 27 pairs",Unior             (1657STR)
269,,616289,,Round spoke wrench ,Unior                 (1631/2)
270,4,611728,,"Tx profile screwdriver, TBI handle Tx-T 20",Unior                (621TBI) 
271,4,611725,,"Tx profile screwdriver, TBI handle Tx-T 9x60",Unior                (621TBI) 
272,4,607181,,"Tx profile screwdriver, T-handle Tx 40",Unior                 (193TX)
273,4,607180,,"Tx profile screwdriver, T-handle Tx 30",Unior                 (193TX)
274,4,607179,,"Tx profile screwdriver, T-handle Tx 27",Unior                 (193TX)
275,4,607177,,"Tx profile screwdriver, T-handle Tx 25",Unior                 (193TX)
276,4,607176,,"Tx profile screwdriver, T-handle Tx 15",Unior                 (193TX)
277,4,607175,,"Tx profile screwdriver, T-handle Tx 10",Unior                 (193TX)
278,4,607174,,"Tx profile screwdriver, T-handle Tx 9",Unior                 (193TX)
279,5,612992,,"Flat file with handle, bastard",Unior                 (760HB)
280,5,613002,,Half round file,Unior                 (761HB)
281,5,613011,,Round file,Unior                 (763HB)
282,6,615518,,"Cone wrench, Single Sided 32mm ",Unior            (1617/2DP)
283,6,615519,,"Cone wrench, Single Sided 22mm",Unior            (1617/2DP)
284,6,615520,,"Cone wrench, Single Sided 17mm",Unior            (1617/2DP)
285,6,615522,,"Cone wrench, Single Sided 15mm",Unior            (1617/2DP)
286,6,617840,,"Cone wrench, Single Sided 14mm",Unior            (1617/2DP)
287,6,615368,,"Cone wrench, Single Sided 13mm",Unior            (1617/2DP)
288,6,610430,,Long flat nose pliers,Unior        (472/1VDEBI)
289,6,610438,,Long bent nose pliers with side culler and pipe grip,Unior        (512/1VDEBI)
290,6,610433,,Wire Stripping pliers,Unior        (478/1VDEBI)
291,6,610925,,Wire Stiipping,Unior                      (380)
292,6,620072,,Electronis side cutter,Union                (461/4E)
293,6,607884,,Diagonal cutting nippers,Unior               (461/1BI)
294,6,626500,,"Bolt shark cutter with groove Dia. 3,6  200mm",Unior  (469SHARK/4DP)
295,6,607870,,Combination pliers 160mm,Unior                (406/1BI)
296,6,620172,,Waterpump pliers 240mm,Unior            (447/1HPP)
297,6,621917,,Insulated adjustable wrench 165mm,Union           (250/1VDP)
298,2,615454,,Hand riveter,Unior                 (1300/6)
299,2,612136,,Utility knifes,Unior                    (556B)
300,2,612137,,Blades for Knife,Unior                 (556.1B)
301,,,,Treading tool holder,
302,2,615377,,Chain rivet pliers,Unior            (1640/1DP)
303,2,605956,,Replaceable pin for chain rivet pliers,Unior              (1640.1/4)
304,,611701,,Crosstip PH screwdriver TBI  (PH 0),Unior                (615TBI)
305,,611702,,Crosstip PH screwdriver TBI  (PH 1),Unior                (615TBI)
306,,611704,,Crosstip PH screwdriver TBI  (PH 2),Unior                (615TBI)
307,4,612811,,"Flat screwdriver TBI  (0,5x3,0)",Unior                (605TBI)
308,4,611690,,"Flat screwdriver TBI  (0,6x3,5)",Unior                (605TBI)
309,4,611692,,"Flat screwdriver TBI  (0,8x4,0)",Unior                (605TBI)
310,,623087,,Cartridge bottom bracket wrench,Unior          (1671.8/2BI)
311,,616288,,Ratchet wrench 10,Unior           (1621/1ABI)
312,,611782,,"Ratchet wrench 12,5",Unior          (190.1/1ABI)
313,,611901,,"Ratchet wrench 6,3",Unior          (188.1/1ABI)
314,,615248,,Ratchet wrench  14x15,Unior             (1621/1BI)
315,,616289,,Round spoke wrench ,Unior                 (1631/2)
316,,620561,,Spoke bearing and cutter gauge,Unior                    (1629)
317,,623448,,DT swiss pro spoke wrench,Unior       (1630/4DTPR)
318,2,WP-Y775W98021,,Brake inner cable fixing tool,Shimano
319,2,WP-Y770898020,,Inner cable fixing bolt settings tool,Shimano
320,,605565,,Screwdriver socket 1/2'' with TX profile,Unior               (192/2Tx)
,,623087,,Cartridge bottom bracket wrench,Unior           (1671.8/2BI)